7/7/2008,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,1,,1,11,1,2,,,16,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,0,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,0,8
O. infirmatus,,8,5,5,,10,,,28,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,3,,1,,,12,,,16,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,,,,,,,,,0,25
C. nigrapalpus,,,,,,,,,0,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,1,,,1,3,,,5,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,7,,1,,,2,,,10,41
Coquillettidia  perturbans,,,,,,,,,0,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,0,51
P. columbiae,,3,,,,,,,3,50
P. ferox,,,,,,,,,0,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
