10/12/2009,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,2,,,1,1,,,,4,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,,,,,,,0,1
Ochlerotatus atlanticus,1,,,,,,,,1,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,0,8
O. infirmatus,,2,,,2,,,,4,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,2,,,1,3,11,,,17,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,3,1,,1,4,32,,,41,25
C. nigrapalpus,10,8,,4,7,127,,,156,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,0,41
Coquillettidia  perturbans,,1,,,,9,,,10,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,0,51
P. columbiae,,,,,,,,,0,50
P. ferox,,,,,,,,,0,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
