4/27/2009,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,,,,,,,,,0,2
A. aegypti,,,,,,,,,0,3
A. vexans,9,,,12,,,,,21,1
Ochlerotatus atlanticus,4,,,164,,,,,168,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,0,8
O. infirmatus,22,,39,,,3,,,64,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,3,,,,,8,,,11,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,3,,,,,22,,,25,25
C. nigrapalpus,4,,,,,2,,,6,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,9,,2,,,1,,,12,41
Coquillettidia  perturbans,,,,,,1,,,1,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,0,51
P. columbiae,,,,,,,,,0,50
P. ferox,,,1,4,,,,,5,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
